ID,Text
1,Protracted yet coordinated differentiation of long-lived SARS-CoV-2-specific CD8+ T cells during COVID-19 convalescence
2,A SARS CoV-2 nucleocapsid vaccine protects against distal viral dissemination
3,Autoantibodies against Progranulin and IL-1 receptor antagonist in critically ill COVID-19
4,Prior Treatment with Statins is Associated with Improved Outcomes of Patients with COVID-19: Data from the SEMI-COVID-19 Registry
5,I got one on my nads don't fancy a corona cocktail
6,At Least One Person Is Hospitalized With COVID-19 After Attending That Republican Christmas Party With A Conga Line
7,Novavax Initiates Pediatric Expansion for Phase 3 Clinical Trial of COVID-19 Vaccine
8,Prior SARS-CoV-2 infection rescues B and T cell responses to variants after first vaccine dose
9,Passive and active immunity in infants born to mothers with SARS-CoV-2 infection during pregnancy: Prospective cohort study
10,The Gamaleya Center statement on a disinformation campaign against Sputnik V vaccine
11,A molecular single-cell lung atlas of lethal COVID-19
12,"BYU-Idaho ""deeply troubled"" by reports of students intentionally contracting COVID-19 to sell plasma with antibodies"
13,Bavarian Nordic Reports New Preclinical Data for COVID-19 Vaccine Confirming Potential for Broad Protection against SARS-CoV2 Variants
14,SARS-CoV-2 interacts with platelets and megakaryocytes via ACE2-independent mechanism
15,B cell genomics behind cross-neutralization of SARS-CoV-2 variants and SARS-CoV
16,On the Origin of SARS-CoV-2: Did Cell Culture Experiments Lead to Increased Virulence of the Progenitor Virus for Humans?
17,"SARS-COV-2 induced Diarrhea is inflammatory, Ca2+ Dependent and involves activation of calcium activated Cl channels"
18,Preexisting autoantibodies to type I IFNs underlie critical COVID-19 pneumonia in patients with APS-1
19,"A broadly neutralizing antibody protects against SARS-CoV, pre-emergent bat CoVs, and SARS-CoV-2 variants in mice"
20,Effectiveness of mRNA COVID-19 vaccines against SARS-CoV-2 infection in a cohort of healthcare personnel
21,Evidence Assessment: Sinopharm/BBIBP COVID-19 vaccine
22,Moderna Announces Agreement with Sanofi for Fill/Finish Manufacturing of the Moderna COVID-19 Vaccine in the U.S.
23,SARS -CoV-2 T-cell immunity to variants of concern following vaccination
24,A Multicenter Evaluation of Blood Purification with Seraph 100 Microbind Affinity Blood Filter for the Treatment of Severe COVID-19: A Preliminary Report
25,Transmission of SARS-CoV-2 within households: a prospective cohort study in the Netherlands and Belgium - Interim results
26,Vaccine side-effects and SARS-CoV-2 infection after vaccination in users of the COVID Symptom Study app in the UK: a prospective observational study
27,NSW Health suggests people stay '1.5 metres apart' for COVID-safe sex
28,Preliminary Findings of mRNA Covid-19 Vaccine Safety in Pregnant Persons
29,Hackers Promise 'No More Healthcare Cyber Attacks' During COVID-19 Crisis
